column_name,source,description,data_type,missing_values
soc2018,eloundou_6digit.csv; BLS crosswalk,Six-digit 2018 SOC job code stored as text; one row per code.,string,0
title,soc_2010_to_2018_crosswalk.xlsx,Official broad 2018 SOC title; BLS footnote markers removed.,string,0
eloundou_title,eloundou_6digit.csv,Original Task 2 title from the .00 base entry; blank for 24 groups without a base entry.,object,24
onet_title,onet_job_zones_6digit.csv,"O*NET title from the .00 entry, or the first detailed occupation when no base exists; may be narrower than the broad SOC title.",object,0
dv_rating_alpha,occ_level.csv via eloundou_6digit.csv,"GPT-4 exposure: E1 share of tasks, range 0–1; simple mean across detailed occupations within the six-digit code.",float64,0
dv_rating_beta,occ_level.csv via eloundou_6digit.csv,"GPT-4 exposure: E1 + 0.5 × E2 share of tasks, range 0–1; simple mean across detailed occupations within the six-digit code.",float64,0
dv_rating_gamma,occ_level.csv via eloundou_6digit.csv,"GPT-4 exposure: E1 + E2 share of tasks; called zeta in the paper, range 0–1; simple mean across detailed occupations within the six-digit code.",float64,0
human_rating_alpha,occ_level.csv via eloundou_6digit.csv,"Human annotator exposure: E1 share of tasks, range 0–1; simple mean across detailed occupations within the six-digit code.",float64,0
human_rating_beta,occ_level.csv via eloundou_6digit.csv,"Human annotator exposure: E1 + 0.5 × E2 share of tasks, range 0–1; simple mean across detailed occupations within the six-digit code.",float64,0
human_rating_gamma,occ_level.csv via eloundou_6digit.csv,"Human annotator exposure: E1 + E2 share of tasks; called zeta in the paper, range 0–1; simple mean across detailed occupations within the six-digit code.",float64,0
aioe,aioe_2018soc.csv; AIOE_appendixA.xlsx,Standardized AI Occupational Exposure score; unweighted mean of contributing 2010 scores for this 2018 code. Not a probability.,float64,8
aioe_source_rows,aioe_2018soc.csv,Number of matched source rows averaged for AIOE; blank when unmatched.,Int64,8
aioe_source_codes,aioe_2018soc.csv,Semicolon-separated contributing 2010 SOC codes; blank when unmatched.,string,8
aioe_crosswalk_changed,aioe_2018soc.csv,True if any contributing mapping is not 1:1; False for direct mappings; blank when unmatched.,boolean,8
fo_prob,frey_osborne_2018soc.csv; frey_osborne_probabilities.csv,"Computerisation probability, 0–1; unweighted mean of contributing 2010 scores. The supplied source covers 653 occupations, not the full 702-paper list.",float64,135
fo_source_rows,frey_osborne_2018soc.csv,Number of matched source rows averaged for Frey–Osborne; blank when unmatched.,Int64,135
fo_source_codes,frey_osborne_2018soc.csv,Semicolon-separated contributing 2010 SOC codes; blank when unmatched.,string,135
fo_crosswalk_changed,frey_osborne_2018soc.csv,True if any contributing mapping is not 1:1; False for direct mappings; blank when unmatched.,boolean,135
onet_title_rollup_method,onet_job_zones_6digit.csv,base_00 or first_detail; identifies how the O*NET title was selected.,object,0
job_zone,onet_job_zones_6digit.csv; onet_job_zones.xlsx,"Preparation category 1–5. Use the .00 entry when present; otherwise the most common detailed value, choosing the lower value on a tie.",int64,0
job_zone_rollup_method,onet_job_zones_6digit.csv,"base_00, detail_mode, or detail_mode_tie_lower; describes the Job Zone selection.",object,0
job_zone_had_conflict,onet_job_zones_6digit.csv,True when detailed occupations within this six-digit group have different Job Zones.,bool,0
job_zone_source_value_count,onet_job_zones_6digit.csv,Number of distinct Job Zone values in the source group; not a count of occupations.,int64,0
ability_arm_hand_steadiness__1_a_2_a_1,onet_abilities.xlsx,O*NET Arm-Hand Steadiness; element 1.A.2.a.1; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
ability_auditory_attention__1_a_4_b_2,onet_abilities.xlsx,O*NET Auditory Attention; element 1.A.4.b.2; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
ability_category_flexibility__1_a_1_b_7,onet_abilities.xlsx,O*NET Category Flexibility; element 1.A.1.b.7; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
